spelling; nchar; SUBTLEXWF; dominant_pos
ervan; 5; 217.75; BW
knusse; 6; 0.50; ADJ
dorpjes; 7; 0.78; N
bezoeken; 8; 26.25; WW
enthousiast; 11; 10.95; ADJ
tandem; 6; 0.16; N
verzekerd; 9; 10.89; WW
kwamen; 6; 101.35; WW
we; 2; 10150.85; VNW
hollandse; 9; 1.01; ADJ
bossen; 6; 12.65; N
prachtig; 8; 159.18; ADJ
bezoekt; 7; 4.07; WW
zwitserse; 9; 3.77; ADJ
graag; 5; 583.73; BW
zoete; 5; 9.03; ADJ
pannekoek; 9; 0.16; N
gegeten; 7; 44.68; WW
buikpijn; 8; 2.95; N
modieuze; 8; 0.55; ADJ
sarah; 5; 51.06; SPEC
wollen; 6; 1.26; ADJ
tassen; 6; 7.50; N
markt; 5; 19.03; N
bracht; 6; 60.92; WW
succes; 6; 103.64; N
ideale; 6; 8.16; ADJ
breekijzer; 10; 0.39; N
onmisbaar; 9; 2.24; ADJ
winkels; 7; 7.94; N
twintig; 7; 56.44; TW
dollar; 6; 235.26; N
minder; 6; 121.27; VNW
waard; 5; 113.74; ADJ
voorheen; 8; 6.11; BW
krijg; 5; 374.28; WW
maar; 4; 8385.73; VG
talentvolle; 11; 1.28; ADJ
uitstekend; 10; 40.54; ADJ
pleidooi; 8; 1.65; N
gehouden; 8; 55.36; WW
parkiet; 7; 0.85; N
madam; 5; 3.75; N
inspireert; 10; 1.81; WW
kooi; 4; 13.81; N
hevige; 6; 3.29; ADJ
bliksem; 7; 10.63; N
kilometer; 9; 49.65; N
verder; 6; 323.76; ADJ
insloeg; 7; 0.62; WW
zorgde; 6; 15.57; WW
brand; 5; 44.39; N
beet; 4; 18.50; N
zomaar; 6; 123.24; BW
lekkere; 7; 28.61; ADJ
taart; 5; 31.35; N
corrupte; 8; 5.19; ADJ
bankier; 7; 3.73; N
goede; 5; 465.36; ADJ
zaken; 5; 185.98; N
deed; 4; 432.02; WW
geweten; 7; 49.92; WW
vastzittende; 12; 0.07; WW
kinderen; 8; 474.49; N
project; 7; 30.39; N
kost; 4; 80.40; WW
lijkt; 5; 429.44; WW
vallen; 6; 180.98; WW
gebakken; 8; 12.92; WW
ei; 2; 16.19; N
kapotte; 7; 5.99; ADJ
dooier; 6; 0.32; N
heerlijk; 8; 73.84; ADJ
héérlijk; 8; 0.18; ADJ
s; 1; 56.58; N
troosten; 8; 4.55; WW
techneut; 8; 0.41; N
huilt; 5; 12.42; WW
darmen; 6; 4.41; N
varken; 6; 24.74; N
afkomen; 7; 3.27; WW
gevuld; 6; 11.02; WW
botte; 5; 1.28; ADJ
bioloog; 7; 1.60; N
kwaad; 5; 157.83; ADJ
bukte; 5; 0.53; WW
struikelde; 10; 2.38; WW
onhandige; 9; 1.35; ADJ
behanger; 8; 0.16; N
haat; 4; 151.32; WW
háát; 4; 0.14; WW
adviseur; 8; 8.64; N
onze; 4; 1062.01; VNW
overtuigde; 10; 2.93; WW
dirigent; 8; 0.87; N
worden; 6; 1070.10; WW
luisteren; 9; 99.41; WW
moet; 4; 3928.29; WW
móet; 4; 0.59; WW
moét; 4; 0.23; WW
moët; 4; 0.18; SPEC
móét; 4; 0.09; WW
nu; 2; 3089.45; BW
nú; 2; 1.05; BW
nù; 2; 0.07; N
blaren; 6; 2.08; N
zitten; 6; 743.64; WW
snelle; 6; 18.43; ADJ
drummer; 7; 3.04; N
band; 4; 79.28; N
zocht; 5; 45.26; WW
plaatste; 8; 2.79; WW
advertentie; 11; 7.98; N
stevige; 7; 5.97; ADJ
korte; 5; 30.87; ADJ
penseel; 7; 0.46; N
voorkeur; 8; 9.35; N
joris; 5; 1.05; SPEC
fruitige; 8; 0.16; ADJ
dranken; 7; 0.57; N
soms; 4; 349.86; BW
vreemd; 6; 126.67; ADJ
smaakten; 8; 0.30; WW
geschonken; 10; 4.39; WW
kromme; 6; 1.10; ADJ
tenen; 5; 12.33; N
ze; 2; 9310.51; VNW
zé; 2; 0.11; N
recht; 5; 159.37; N
milde; 5; 0.82; ADJ
zonden; 6; 15.55; N
opbiechtte; 10; 0.11; WW
huilde; 6; 12.12; WW
opa; 3; 57.33; N
bakker; 6; 4.00; N
vroeger; 7; 124.45; ADJ
piloot; 6; 30.12; N
of; 2; 2338.15; VG
óf; 2; 2.40; BW
òf; 2; 0.25; N
brandweerman; 12; 5.05; N
at; 2; 15.37; WW
muffe; 5; 0.53; ADJ
toast; 5; 10.77; N
smaakte; 7; 1.58; WW
frank; 5; 104.69; SPEC
nerveus; 7; 42.90; ADJ
ogende; 6; 0.23; WW
patholoog; 9; 2.01; N
hem; 3; 3698.04; VNW
hém; 3; 1.17; VNW
hèm; 3; 0.23; N
onderzocht; 10; 20.10; WW
pas; 3; 325.80; BW
overleden; 9; 41.80; WW
tennisser; 9; 0.27; N
kende; 5; 82.76; WW
begrafenis; 10; 35.19; N
kamp; 4; 41.73; N
enkele; 6; 114.59; VNW
begeleider; 10; 2.36; N
redde; 5; 15.21; WW
droge; 5; 8.35; ADJ
beschuit; 8; 0.37; N
verslikte; 9; 0.11; WW
professor; 9; 67.21; N
dertigste; 9; 0.82; TW
domino; 6; 2.10; N
speelde; 7; 40.11; WW
gewonnen; 8; 71.62; WW
versleten; 9; 3.66; WW
toestel; 7; 16.33; N
aardig; 6; 191.95; ADJ
draait; 6; 48.75; WW
gekeurd; 7; 0.62; WW
rosa; 4; 5.95; SPEC
bruiloft; 8; 36.38; N
bedacht; 7; 41.83; WW
vreugde; 7; 13.56; N
panda; 5; 0.96; N
uitsterven; 10; 1.94; WW
bedreigd; 8; 13.90; WW
rekent; 6; 4.39; WW
u; 1; 5502.59; VNW
ú; 1; 0.46; BW
ù; 1; 0.07; N
bands; 5; 2.52; N
populair; 8; 15.44; ADJ
brengen; 7; 249.76; WW
enorme; 6; 44.43; ADJ
tenten; 6; 3.82; N
gans; 4; 5.88; ADJ
andere; 6; 655.30; ADJ
persoon; 7; 94.12; N
vasthield; 9; 2.61; WW
begon; 5; 106.24; WW
fladderen; 9; 0.64; WW
ton; 3; 13.72; N
paradijs; 8; 14.43; N
verborgen; 9; 32.43; WW
gemaakte; 8; 1.78; WW
salade; 6; 9.92; N
deze; 4; 1716.92; VNW
déze; 4; 0.11; ADJ
bedorven; 8; 3.84; WW
tomaat; 6; 2.97; N
verpest; 7; 40.18; WW
gooi; 4; 73.63; WW
verhitte; 8; 0.30; ADJ
discussie; 9; 14.45; N
uitdraaide; 10; 0.07; WW
gehad; 5; 317.64; WW
perceel; 7; 0.69; N
vaste; 5; 17.45; ADJ
bestemming; 10; 12.51; N
katten; 6; 15.46; N
continu; 7; 4.62; ADJ
plukjes; 7; 0.16; N
verliezen; 9; 96.78; WW
kunnen; 6; 1704.80; WW
tekort; 6; 11.16; N
vitamine; 8; 1.81; N
pasta; 5; 5.92; N
overgoten; 9; 0.39; WW
rode; 4; 55.73; ADJ
saus; 4; 9.56; N
versmaden; 9; 0.18; WW
martine; 7; 1.60; SPEC
glimmende; 9; 2.31; WW
dressoir; 8; 0.82; N
gepoetst; 8; 2.90; WW
vond; 4; 269.86; WW
gouden; 6; 32.61; ADJ
ketting; 7; 19.14; N
kreta; 5; 1.01; SPEC
stranden; 8; 2.49; N
vanwege; 7; 84.36; VZ
massale; 7; 1.49; ADJ
toerisme; 8; 1.03; N
aantrekkelijk; 13; 17.20; ADJ
peter; 5; 53.24; SPEC
gemene; 6; 14.89; ADJ
duivel; 6; 45.12; N
uitgedreven; 11; 0.50; WW
doodmoe; 7; 3.32; ADJ
sliep; 5; 26.48; WW
meteen; 6; 218.46; BW
bezem; 5; 3.80; N
lucht; 5; 89.00; N
vloog; 5; 15.64; WW
lelijk; 6; 29.23; ADJ
borrels; 7; 1.69; N
drinkt; 6; 29.07; WW
tegen; 5; 1031.75; VZ
tégen; 5; 0.14; N
boom; 4; 52.25; N
gereden; 7; 19.55; WW
ring; 4; 52.34; N
diamant; 7; 11.18; N
bevat; 5; 9.74; WW
oogarts; 7; 0.87; N
anne; 4; 17.36; SPEC
aanbiedt; 8; 3.38; WW
rijk; 4; 79.15; ADJ
kleurige; 8; 0.32; ADJ
papegaai; 8; 3.29; N
gekocht; 7; 64.30; WW
zak; 3; 96.87; N
pitjes; 6; 0.14; N
reus; 4; 7.45; N
wees; 4; 233.69; WW
dwerg; 5; 8.99; N
knuppel; 7; 7.32; N
patricia; 8; 3.25; SPEC
geleerd; 7; 88.64; WW
haalde; 6; 23.74; WW
moeilijke; 9; 26.66; ADJ
tentamen; 8; 1.10; N
punt; 4; 73.77; N
trui; 4; 11.62; N
droger; 6; 1.99; N
terecht; 7; 44.89; ADJ
gekomen; 7; 204.94; WW
paste; 5; 5.67; WW
rotterdam; 9; 0.48; SPEC
samen; 5; 370.64; BW
dingen; 6; 510.78; N
tot; 3; 1131.50; VZ
stand; 5; 15.71; N
kortere; 7; 3.38; ADJ
termijn; 7; 6.29; N
vertrok; 7; 22.14; WW
gezelschap; 10; 36.89; N
bus; 3; 64.83; N
lezers; 6; 3.11; N
groten; 6; 2.13; ADJ
getale; 6; 0.23; N
bezwaar; 7; 20.76; N
schrijnende; 11; 0.18; ADJ
situatie; 8; 70.50; N
waaraan; 7; 13.51; BW
nederlandse; 11; 1.97; ADJ
politiek; 8; 30.87; N
nauwelijks; 10; 33.09; BW
doet; 4; 835.25; WW
dagen; 5; 290.15; N
meest; 5; 58.95; VNW
succesvolle; 11; 6.17; ADJ
nederland; 9; 3.02; SPEC
toezicht; 8; 8.00; N
accountants; 11; 0.87; N
ter; 3; 76.88; VZ
regionale; 9; 2.49; ADJ
problemen; 9; 232.64; N
zoals; 5; 731.89; VG
antillen; 8; 0.32; SPEC
pillen; 6; 28.01; N
blauwe; 6; 48.80; ADJ
poeders; 7; 0.32; N
ingevoerd; 9; 2.36; WW
haalt; 5; 56.62; WW
zo; 2; 3841.35; BW
zó; 2; 10.59; BW
zò; 2; 0.21; SPEC
zô; 2; 0.07; WW
complete; 8; 11.14; ADJ
bouwsel; 7; 0.09; N
verband; 7; 25.29; N
vorig; 5; 35.70; ADJ
jaar; 4; 762.67; N
dertig; 6; 32.45; TW
dossiers; 8; 18.34; N
allemaal; 8; 815.26; BW
gekoppeld; 9; 3.04; WW
actiegroep; 10; 0.16; N
nieuw; 5; 119.85; ADJ
probleem; 8; 341.78; N
natuur; 6; 26.96; N
race; 4; 26.32; N
eindigde; 8; 6.38; WW
olympisch; 9; 1.30; ADJ
paard; 5; 83.63; N
als; 3; 6343.35; VG
áls; 3; 0.34; N
bij; 3; 2465.94; VZ
openbare; 8; 12.28; ADJ
debat; 5; 5.74; N
duidelijk; 9; 170.82; ADJ
wat; 3; 10991.46; VNW
wát; 3; 1.23; VNW
bedoeling; 9; 39.33; N
werkt; 5; 270.71; WW
twaalf; 6; 46.49; TW
per; 3; 163.99; VZ
uur; 3; 348.69; N
eigen; 5; 355.96; ADJ
bestaan; 7; 56.96; WW
bruid; 5; 21.13; N
india; 5; 2.29; SPEC
groeperingen; 12; 1.14; N
binnen; 6; 677.30; VZ
kerk; 4; 79.49; N
bestrijden; 10; 8.60; WW
bekendheid; 10; 1.58; N
macht; 5; 83.99; N
tijdrovende; 11; 0.07; ADJ
procedure; 9; 11.82; N
klassieke; 9; 7.09; ADJ
animatie; 8; 0.59; N
pubers; 6; 0.78; N
straat; 6; 100.34; N
zorgen; 6; 420.52; N
overlast; 8; 2.74; N
broodje; 7; 12.76; N
belegd; 6; 0.82; WW
kaas; 4; 22.85; N
ham; 3; 10.47; N
duizend; 7; 40.36; TW
arbeiders; 9; 8.51; N
werken; 6; 306.82; WW
bedrijf; 7; 73.38; N
tegenover; 9; 32.27; VZ
station; 7; 28.04; N
anke; 4; 0.37; SPEC
plant; 5; 11.69; N
gieter; 6; 0.32; N
wijnglazen; 10; 0.32; N
bovenste; 8; 9.03; ADJ
plank; 5; 11.21; N
keukenkastje; 12; 0.11; N
moedige; 7; 5.99; ADJ
bereikten; 9; 1.53; WW
eindelijk; 9; 116.33; ADJ
top; 3; 36.36; N
berg; 4; 34.30; N
maakte; 6; 130.12; WW
diepe; 5; 13.10; ADJ
buiging; 7; 0.91; N
huishoudster; 12; 6.29; N
tafel; 5; 83.40; N
af; 2; 872.25; VZ
vochtig; 7; 3.25; ADJ
doekje; 6; 1.37; N
stof; 4; 29.25; N
verwijderen; 11; 14.84; WW
zakenvrouw; 10; 0.85; N
droeg; 5; 31.21; WW
grijze; 6; 9.28; ADJ
pantalon; 8; 0.23; N
voorstelling; 12; 12.51; N
jaarlijks; 9; 2.13; ADJ
druk; 4; 207.11; ADJ
bezocht; 7; 11.02; WW
buitenlandse; 12; 11.50; ADJ
toeristen; 9; 9.10; N
fotocamera; 10; 0.14; N
garage; 6; 29.13; N
beurt; 5; 41.89; N
periodieke; 10; 0.25; ADJ
keuring; 7; 1.17; N
kees; 4; 1.78; SPEC
kocht; 5; 24.79; WW
keurig; 6; 5.37; ADJ
bosje; 5; 1.35; N
bloemen; 7; 46.19; N
doos; 4; 38.28; N
bonbons; 7; 1.60; N
sprookje; 8; 6.11; N
koning; 6; 138.53; N
troon; 5; 12.10; N
niksen; 6; 0.94; WW
kleurde; 7; 0.27; WW
details; 7; 33.43; N
klein; 5; 195.66; ADJ
helemaal; 8; 547.82; BW
druppende; 9; 0.02; WW
kraan; 5; 6.40; N
keuken; 6; 52.98; N
firma; 5; 8.78; N
viert; 5; 2.77; WW
tienjarig; 9; 0.25; ADJ
gigantisch; 10; 6.86; ADJ
koorts; 6; 14.77; N
griep; 5; 7.13; N
lastige; 7; 7.34; ADJ
geduldig; 8; 6.95; ADJ
bestelling; 10; 9.26; N
kantoor; 7; 124.42; N
gebruiken; 9; 215.96; WW
simpel; 6; 52.92; ADJ
uitsluitend; 11; 2.47; ADJ
papier; 6; 31.05; N
milieu; 6; 4.99; N
marco; 5; 9.01; SPEC
ieder; 5; 95.08; VNW
half; 4; 104.76; ADJ
controle; 8; 71.92; N
contrôle; 8; 0.07; N
bezorgde; 8; 5.44; WW
lisa; 4; 29.23; SPEC
boeket; 6; 2.06; N
rozen; 5; 12.37; N
floor; 5; 0.39; SPEC
vannacht; 8; 70.07; BW
hele; 4; 607.87; ADJ
héle; 4; 0.07; ADJ
droom; 5; 109.42; N
slangen; 7; 11.80; N
twee; 4; 1007.51; TW
twéé; 4; 0.32; N
waren; 5; 648.69; WW
betrokken; 9; 51.77; WW
frontale; 8; 1.46; ADJ
botsing; 7; 3.32; N
autoweg; 7; 0.96; N
theater; 7; 21.54; N
beschuldigde; 12; 3.29; WW
diefstal; 8; 13.51; N
herkend; 7; 9.03; WW
blonde; 6; 10.93; ADJ
pruik; 5; 6.52; N
krullen; 7; 2.84; N
zanger; 6; 6.22; N
trad; 4; 1.94; WW
ahoy; 4; 1.01; SPEC
ouderwetse; 10; 6.43; ADJ
klompen; 7; 0.41; N
boerendorp; 10; 0.14; N
sinds; 5; 198.13; VZ
hier; 4; 4516.62; VNW
bezoek; 6; 63.80; N
veranderd; 9; 107.68; WW
wieg; 4; 4.12; N
lag; 3; 87.04; WW
gebalde; 7; 0.21; WW
slapen; 6; 209.22; WW
spelen; 6; 247.77; WW
lette; 5; 3.00; WW
orkest; 6; 4.21; N
bewegingen; 10; 8.53; N
na; 2; 593.44; VZ
ná; 2; 0.25; SPEC
verkiezingen; 12; 10.24; N
grootste; 8; 90.24; ADJ
partij; 6; 22.62; N
waarschijnlijk; 14; 168.31; ADJ
rotzooi; 7; 36.36; N
centrale; 8; 17.24; ADJ
plein; 5; 5.49; N
spanje; 6; 17.08; SPEC
trek; 4; 125.73; WW
gunstige; 8; 1.46; ADJ
klimaat; 7; 4.12; N
tegenwoordig; 12; 34.12; ADJ
juichen; 7; 3.20; WW
verrassingen; 12; 9.12; N
verjaardag; 10; 51.54; N
danspasjes; 10; 0.37; N
roos; 4; 11.71; N
voeten; 6; 58.08; N
bouw; 4; 12.33; N
schuurtje; 9; 1.01; N
bleek; 5; 24.17; WW
karwei; 6; 2.72; N
minister; 8; 25.77; N
benieuwd; 8; 14.77; ADJ
totale; 6; 11.71; ADJ
percentage; 10; 3.45; N
kiezers; 7; 3.54; N
friesland; 9; 0.11; SPEC
beugel; 6; 3.48; N
achttiende; 10; 1.23; TW
verloofde; 9; 24.88; WW
koppel; 6; 6.95; N
bekijkt; 7; 10.95; WW
locatie; 7; 22.14; N
juni; 4; 12.94; SPEC
artsen; 6; 12.67; N
stad; 4; 272.61; N
belangrijke; 11; 46.28; ADJ
bespreking; 10; 5.56; N
chirurgie; 9; 4.34; N
koffie; 6; 133.30; N
koffïe; 6; 0.11; N
suiker; 6; 21.82; N
plaats; 6; 213.38; N
riskante; 8; 0.89; ADJ
kruising; 8; 4.41; N
buiten; 6; 363.58; VZ
terrorist; 9; 10.29; N
vervelend; 9; 32.38; ADJ
dwaalspoor; 10; 1.07; N
wisselen; 8; 10.89; WW
schildwacht; 11; 0.34; N
uren; 4; 39.77; N
poort; 5; 25.06; N
vervallen; 9; 3.13; WW
kasteel; 7; 27.60; N
uitkijk; 7; 6.59; N
maakten; 7; 25.59; WW
kring; 5; 3.48; N
zingen; 6; 65.52; WW
stormachtige; 12; 0.64; ADJ
meerdere; 8; 23.44; VNW
teams; 5; 9.72; N
sporthal; 8; 0.37; N
halverwege; 10; 8.87; BW
spannende; 9; 4.21; ADJ
agenten; 7; 61.42; N
aantal; 6; 51.43; N
vechtende; 9; 0.57; WW
reclame; 7; 12.94; N
besteden; 8; 4.87; WW
lucratieve; 10; 0.71; ADJ
bedrijven; 9; 16.90; N
aankoop; 7; 2.58; N
sluiten; 7; 58.68; WW
lening; 6; 10.27; N
stakingen; 9; 0.64; N
slachthuis; 10; 2.06; N
stijgen; 7; 8.71; WW
huidige; 7; 14.32; ADJ
prijzen; 7; 12.94; N
vlees; 5; 61.67; N
flessen; 7; 8.53; N
wijn; 4; 60.44; N
krijgen; 7; 496.90; WW
rijke; 5; 29.96; ADJ
fles; 4; 45.71; N
cadeau; 6; 29.29; N
eeuwenoude; 10; 1.60; ADJ
eik; 3; 1.53; N
tuin; 4; 36.66; N
bloeien; 7; 2.45; WW
witte; 5; 50.93; ADJ
tulpen; 6; 0.75; N
volop; 5; 3.25; BW
opening; 7; 10.63; N
kregen; 6; 35.35; WW
talrijke; 8; 0.59; ADJ
consumptie; 10; 0.66; N
stellen; 7; 105.81; WW
gedreven; 8; 7.82; WW
advocaten; 9; 20.88; N
vragen; 6; 440.66; WW
behaalde; 8; 0.50; WW
diploma; 7; 8.99; N
trakteren; 9; 3.84; WW
vrienden; 8; 332.61; N
gebak; 5; 2.15; N
rumoerige; 9; 0.11; ADJ
beslisten; 9; 0.55; WW
leden; 5; 20.67; N
staking; 7; 3.25; N
voort; 5; 23.46; BW
zetten; 6; 153.33; WW
ergernis; 8; 0.75; N
beheerder; 9; 2.26; N
gooien; 6; 49.62; WW
terrein; 7; 27.05; N
behoefte; 8; 16.03; N
fabrikant; 9; 1.10; N
productie; 9; 6.91; N
duikers; 7; 2.29; N
springen; 8; 46.86; WW
hoge; 4; 47.43; ADJ
duikplank; 9; 0.37; N
zwembad; 7; 23.17; N
gruwelijk; 9; 4.18; ADJ
verwende; 8; 2.52; WW
goud; 4; 61.99; N
zowel; 5; 15.41; BW
leerlingen; 10; 14.02; N
docenten; 8; 0.96; N
bidden; 6; 36.82; WW
doodzieke; 9; 0.16; ADJ
lompen; 6; 0.64; N
gehulde; 7; 0.07; WW
bedelaar; 8; 2.54; N
steelt; 6; 13.61; WW
fruit; 5; 12.94; N
groenteboer; 11; 0.32; N
vrolijke; 8; 6.91; ADJ
meisjes; 7; 133.25; N
dansen; 6; 102.91; WW
gezellige; 9; 2.84; ADJ
braderie; 8; 0.32; N
uitgelaten; 10; 1.53; WW
feestgangers; 12; 0.21; N
rusten; 6; 41.76; WW
park; 4; 30.87; N
lachwekkende; 12; 0.16; ADJ
clowns; 6; 6.13; N
talloze; 7; 4.83; ADJ
dwaasheden; 10; 0.30; N
laaiend; 7; 1.44; ADJ
dronken; 7; 76.77; ADJ
bestuurder; 10; 6.17; N
verzint; 7; 5.56; WW
flauw; 5; 21.50; ADJ
smoesje; 7; 1.28; N
serveert; 8; 1.58; WW
fel; 3; 6.27; ADJ
gekleurde; 9; 3.22; WW
kokosnoten; 10; 1.56; N
ananassen; 9; 0.09; N
vriend; 6; 491.43; N
bedenkt; 7; 7.96; WW
toepasselijk; 12; 1.69; ADJ
gedicht; 7; 14.73; N
kersverse; 9; 0.41; ADJ
bruidspaar; 10; 0.94; N
verrassen; 9; 12.37; WW
overvallers; 11; 3.00; N
nemen; 5; 391.29; WW
handvol; 7; 2.22; N
diamanten; 9; 23.76; N
genoegen; 8; 41.67; N
indische; 8; 0.23; ADJ
restaurants; 11; 5.69; N
pikant; 6; 1.12; ADJ
pepers; 6; 1.19; N
geserveerd; 10; 1.92; WW
leest; 5; 25.43; WW
zondagse; 8; 1.10; ADJ
krant; 5; 58.20; N
huiskamer; 9; 2.81; N
pientere; 8; 0.80; ADJ
dame; 4; 82.74; N
boekje; 6; 11.02; N
presenteert; 11; 2.93; WW
lopend; 6; 4.64; WW
buffet; 6; 3.18; N
china; 5; 19.94; SPEC
naaien; 6; 18.02; WW
kleren; 6; 104.85; N
westerse; 8; 4.67; ADJ
consumenten; 11; 0.59; N
verstandige; 11; 2.58; ADJ
keuze; 5; 66.45; N
vlug; 4; 48.05; ADJ
vertrekken; 10; 100.78; WW
drang; 5; 4.71; N
spijbelen; 9; 2.26; WW
overvalt; 8; 1.58; WW
me; 2; 7396.96; VNW
drie; 4; 526.78; TW
karin; 5; 1.81; SPEC
indruk; 6; 50.97; N
dijken; 6; 0.02; N
dergelijk; 9; 1.94; ADJ
vastgesteld; 11; 5.08; WW
kom; 3; 2612.54; WW
terug; 5; 1336.35; BW
heropende; 9; 0.11; WW
dierentuin; 10; 9.56; N
amsterdam; 9; 5.74; SPEC
moment; 6; 253.97; N
broertje; 8; 23.62; N
hond; 4; 168.65; N
dorpje; 6; 5.10; N
nieuwbouw; 9; 0.27; N
prestatie; 9; 5.35; N
niets; 5; 1289.32; VNW
vroegere; 8; 6.65; ADJ
afhankelijke; 12; 0.07; ADJ
positie; 7; 57.08; N
past; 4; 44.55; WW
veranderde; 10; 21.38; WW
jaren; 5; 167.87; N
breekt; 6; 24.22; WW
onnodige; 8; 2.17; ADJ
drama; 5; 11.16; N
los; 3; 184.80; ADJ
vraag; 5; 436.69; WW
vráág; 5; 0.07; WW
grondstoffen; 12; 0.59; N
naam; 4; 470.60; N
noemen; 6; 141.78; WW
ons; 3; 2301.95; VNW
óns; 3; 0.14; N
geldt; 5; 26.37; WW
verlaging; 9; 0.16; N
reparaties; 10; 1.72; N
komende; 7; 22.43; WW
congres; 7; 12.28; N
houding; 7; 20.08; N
begin; 5; 193.12; N
ingegeven; 9; 0.43; WW
vertrouwen; 10; 141.74; N
verloren; 8; 128.08; WW
zelfs; 5; 387.15; BW
zélfs; 5; 0.07; N
grove; 5; 3.84; ADJ
dwaling; 7; 0.62; N
mentale; 7; 4.14; ADJ
inzinking; 9; 1.44; N
besluit; 7; 28.26; N
voorgenomen; 11; 0.96; WW
destructie; 10; 0.34; N
kerncentrale; 12; 2.17; N
betere; 6; 51.16; ADJ
behuizing; 9; 0.39; N
afgedwongen; 11; 0.55; WW
europese; 8; 6.47; ADJ
regels; 6; 83.77; N
wanneer; 7; 458.82; BW
wannéér; 7; 0.11; N
lakse; 5; 0.11; ADJ
eens; 4; 1392.11; BW
ééns; 4; 0.05; N
eéns; 4; 0.05; SPEC
manier; 6; 257.40; N
geliefd; 7; 7.23; ADJ
troepen; 7; 25.31; N
gebied; 6; 58.29; N
uitgebreid; 10; 5.42; ADJ
zeventig; 8; 3.59; TW
boeiende; 8; 2.15; WW
programma; 9; 37.96; N
miljoenen; 9; 30.37; N
luisteraars; 11; 1.39; N
duizenden; 9; 33.75; N
wereld; 6; 394.01; N
komen; 5; 1143.88; WW
popconcert; 10; 0.09; N
bericht; 7; 59.78; N
eeuwige; 7; 18.32; ADJ
jeruzalem; 9; 7.55; SPEC
trouwe; 6; 9.15; ADJ
dienaren; 8; 1.74; N
toe; 3; 580.41; VZ
eisende; 7; 0.23; WW
malafide; 8; 0.14; ADJ
makelaar; 8; 5.08; N
lees; 4; 61.15; WW
boeken; 6; 66.91; N
tijd; 4; 898.46; N
bekentenis; 10; 11.11; N
moord; 5; 141.99; N
dreef; 5; 6.27; WW
machtige; 8; 13.84; ADJ
personeel; 9; 22.07; N
overwinning; 11; 23.05; N
hawaii; 6; 1.74; SPEC
hawaïï; 6; 0.09; SPEC
hopelijk; 8; 64.26; ADJ
snel; 4; 463.60; ADJ
arbeidsethos; 12; 0.14; N
centraal; 8; 2.68; ADJ
bolivia; 7; 1.26; SPEC
anders; 6; 772.57; BW
zuiden; 6; 28.65; N
paar; 4; 434.44; N
alles; 5; 1708.42; VNW
álles; 5; 0.09; N
bemachtigen; 11; 3.34; WW
vandaar; 7; 16.60; BW
kippen; 6; 11.80; N
pootjes; 7; 3.13; N
staande; 7; 3.36; WW
beruchte; 8; 4.60; ADJ
daders; 6; 7.11; N
meldden; 7; 0.43; WW
tweede; 6; 129.82; TW
echter; 6; 18.13; BW
bijna; 5; 334.03; BW
mis; 3; 219.69; ADJ
nationaal; 9; 4.32; ADJ
bureaucratie; 12; 1.44; N
japan; 5; 13.17; SPEC
geringe; 7; 0.82; ADJ
fout; 4; 165.27; ADJ
stortte; 7; 5.67; WW
ploeg; 5; 9.81; N
zachte; 6; 10.18; ADJ
plantjes; 8; 0.69; N
emmer; 5; 6.72; N
vol; 3; 207.21; ADJ
aarde; 5; 100.07; N
kwam; 4; 478.85; WW
aanlopen; 8; 0.89; WW
diadeem; 7; 0.55; N
bek; 3; 51.13; N
natasja; 7; 0.25; SPEC
stopte; 6; 24.17; WW
zakdoek; 7; 4.92; N
broek; 5; 67.28; N
ruches; 6; 0.25; N
overtreders; 11; 0.82; N
wet; 3; 80.45; N
rekenen; 7; 32.61; WW
eerlijk; 7; 172.38; ADJ
proces; 6; 37.07; N
onpartijdige; 12; 0.55; ADJ
rechter; 7; 63.28; N
avondje; 7; 5.19; N
stappen; 7; 33.84; WW
behoorlijke; 11; 3.91; ADJ
kater; 5; 7.29; N
alcohol; 7; 19.28; N
student; 7; 17.15; N
rond; 4; 172.65; VZ
karige; 6; 0.09; ADJ
beurs; 5; 14.43; N
vierhonderd; 11; 2.22; TW
gulden; 6; 1.92; N
uitvallen; 9; 1.46; WW
elektriciteit; 13; 10.98; N
verlichtte; 10; 0.50; WW
kaarsen; 7; 8.28; N
barones; 7; 3.36; N
nodigde; 7; 3.82; WW
gasten; 6; 52.96; N
diner; 5; 24.08; N
wijnen; 6; 1.03; N
handen; 6; 214.80; N
moordenaar; 10; 93.83; N
zaten; 5; 58.77; WW
druipende; 9; 0.23; WW
bloed; 5; 185.32; N
slachtoffer; 11; 51.64; N
beker; 5; 8.78; N
champagne; 9; 34.64; N
veegde; 6; 1.03; WW
vloer; 5; 31.72; N
stokoude; 8; 0.32; ADJ
twijgen; 7; 0.27; N
balie; 5; 4.41; N
aangiftes; 9; 0.09; N
deftige; 7; 1.05; ADJ
pakjes; 6; 6.38; N
zolder; 6; 8.19; N
bewaard; 7; 12.58; WW
kist; 4; 27.67; N
eikenhout; 9; 0.11; N
tevreden; 8; 42.97; ADJ
decor; 5; 1.62; N
zestiende; 9; 2.38; TW
brommer; 7; 1.07; N
helm; 4; 11.09; N
snelweg; 7; 18.34; N
stil; 4; 160.81; ADJ
brandstof; 9; 14.50; N
tank; 4; 19.25; N
hadden; 6; 390.47; WW
moeite; 6; 68.60; N
